periodid,periodname,periodcode,perioddescription,nmcp confirmed malaria cases rdt_central east zone,nmcp confirmed malaria cases rdt_wimbe-hc,nmcp confirmed malaria cases rdt_st andrews ch,nmcp confirmed malaria cases rdt_simlemba-hc,nmcp confirmed malaria cases rdt_santhe-hc,nmcp confirmed malaria cases rdt_ofesi-hc,nmcp confirmed malaria cases rdt_nkhamenya-hosp,nmcp confirmed malaria cases rdt_newa--mpasazi-hc,nmcp confirmed malaria cases rdt_mziza health centre,nmcp confirmed malaria cases rdt_mtunthama-hc,nmcp confirmed malaria cases rdt_mpepa--chisinga-hc,nmcp confirmed malaria cases rdt_mnyanja health centre,nmcp confirmed malaria cases rdt_mkhota-r-growth-hc,nmcp confirmed malaria cases rdt_mdunga hc,nmcp confirmed malaria cases rdt_lodjwa hc,nmcp confirmed malaria cases rdt_livwezi health centre,nmcp confirmed malaria cases rdt_linyangwa-hc,nmcp confirmed malaria cases rdt_khola-hc,nmcp confirmed malaria cases rdt_kawamba-hc,nmcp confirmed malaria cases rdt_kasungu-distr-hosp,nmcp confirmed malaria cases rdt_kasalika-disp,nmcp confirmed malaria cases rdt_kapelula-hc,nmcp confirmed malaria cases rdt_kamboni-hc,nmcp confirmed malaria cases rdt_kaluluma-rh,nmcp confirmed malaria cases rdt_gogode-hc,nmcp confirmed malaria cases rdt_dwangwa-hc,nmcp confirmed malaria cases rdt_chulu-hc,nmcp confirmed malaria cases rdt_chinyama dispensary,nmcp confirmed malaria cases rdt_chamwabvi-disp,nmcp confirmed malaria cases rdt_chamama health facility,nmcp confirmed malaria cases rdt_bua-hc-kasungu,nmcp confirmed malaria cases rdt_anchor farm health centre
201802,18-Feb,201802,,141373,1356,80,912,2126,1628,113,86,1520,1264,1571,892,1303,986,740,981,1283,1185,2464,4527,0,1572,1733,1065,787,799,1529,968,1705,1087,1344,1312
201803,18-Mar,201803,,165606,1865,228,1258,1651,1110,193,167,1692,1789,1016,1226,1040,696,826,1223,957,1430,2814,6287,595,1947,1710,1665,991,799,2105,869,900,832,1177,2412
201804,18-Apr,201804,,179364,2571,387,1115,1025,1537,317,388,1312,2135,1454,1017,760,1540,542,1361,2010,0,735,8775,1997,1957,624,1634,1874,876,2557,1122,795,1015,1103,1393
201805,18-May,201805,,181064,1843,474,1009,3109,1673,335,315,1625,1950,986,1149,1702,1029,,1233,1768,1105,2581,7408,2294,1858,1495,1650,1588,1178,1172,443,1948,524,703,1105
201806,18-Jun,201806,,139219,1041,399,749,1567,969,217,217,801,1535,1157,1155,1077,630,840,559,300,644,1465,4673,983,1205,1338,973,1030,615,1970,487,1202,473,266,1005
201807,18-Jul,201807,,81907,667,135,265,371,328,121,130,97,709,535,323,1291,293,88,177,441,299,800,1420,484,510,577,388,599,52,595,412,342,277,570,307
201808,18-Aug,201808,,64993,446,66,164,722,211,64,41,47,398,328,166,566,235,79,129,230,139,616,899,207,462,388,258,341,168,339,293,153,154,77,254
201809,18-Sep,201809,,69620,466,49,100,779,119,60,25,88,346,283,0,962,297,73,128,187,192,396,452,266,475,274,188,303,131,195,258,142,150,39,115
201810,18-Oct,201810,,84373,547,198,228,719,146,54,21,157,370,313,71,322,439,71,135,342,423,604,969,259,828,673,232,277,250,231,223,240,172,149,356
201811,18-Nov,201811,,53205,230,21,286,787,143,45,12,108,344,375,60,143,401,110,105,232,263,412,718,168,865,332,278,297,296,195,278,205,110,149,139
201812,18-Dec,201812,,40558,127,28,355,512,164,52,21,91,257,169,53,51,388,140,102,149,233,418,694,97,976,320,192,283,127,172,298,167,79,265,88
201901,19-Jan,201901,,93850,1289,99,2436,1296,2423,52,68,464,1013,644,1010,454,774,514,559,398,568,923,3427,443,2156,573,1055,1764,1259,331,966,898,1247,908,516
201902,19-Feb,201902,,70471,1123,73,1607,1634,2154,154,100,677,835,1078,0,852,245,469,807,676,801,1233,2328,567,1220,1189,1522,1276,1020,773,754,651,729,647,810
201903,19-Mar,201903,,86526,1539,99,2154,1363,2416,255,202,668,1275,1987,2497,792,634,733,1121,945,1034,1703,3687,1061,1361,1379,2160,1882,1537,1629,924,1165,872,1110,759
201904,19-Apr,201904,,94434,1659,225,1892,1411,2978,177,310,1077,1631,1890,2736,259,724,795,651,1429,990,2034,5161,1618,1340,1601,1218,1002,1414,2626,1078,1056,1037,1396,818
201905,19-May,201905,,93343,1582,311,1187,2608,2538,290,380,1362,1602,1826,1294,931,376,849,518,1833,1522,2326,3807,1581,1312,1544,2085,1126,1443,2887,906,929,714,940,1115
201906,19-Jun,201906,,66875,954,153,832,1799,1189,117,206,791,851,1697,1365,777,404,590,179,1019,772,1413,5382,873,720,829,1221,847,844,1808,589,591,543,570,582
201907,19-Jul,201907,,36755,505,39,320,803,352,126,223,286,310,725,489,454,228,274,90,478,414,663,1532,275,526,397,698,227,266,775,275,166,251,230,281
201908,19-Aug,201908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909,19-Sep,201909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910,19-Oct,201910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201911,19-Nov,201911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201912,19-Dec,201912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
